| 210 | HUN | 8 min         | 98.22 | 38.25 |
| 200 | HUN | 8 min         | 99.26 | 36.67 |
| 205 | HUN | 8 min         | 98.61 | 37.02 |
| 205 | HUN | 8 min         | 99.41 | 37.95 |
| 200 | HUN | 8 min         | 97.68 | 35.50 |
| 195 | HUN | 8 min         | 99.06 | 36.60 |
| 190 | HUN | 8 min         | 98.95 | 35.02 |
| 190 | HUN | 8 min         | 99.09 | 35.35 |
| 180 | HUN | 8 min         | 99.11 | 33.50 |
| 180 | HUN | 8 min group 1 | 99.21 | 34.37 |
| 185 | HUN | 8 min         | 99.08 | 34.77 |
| 180 | HUN | 8 min         | 98.75 | 33.55 |
| 175 | HUN | 8 min         | 99.40 | 33.12 |
| 170 | HUN | 8 min         | 99.62 | 32.87 |
| 160 | HUN | 8 min         | 99.19 | 30.17 |
| 165 | HUN | 8 min         | 99.12 | 30.65 |
| 150 | HUN | 8 min         | 99.75 | 29.30 |
| 155 | HUN | 8 min         | 99.41 | 29.12 |
| 145 | HUN | 8 min         | 98.93 | 27.42 |
| 145 | HUN | 8 min         | 99.47 | 28.22 |
| 150 | HUN | 8 min         | 99.39 | 28.70 |
| 135 | HUN | 8 min         | 99.43 | 25.75 |
| 140 | HUN | 8 min         | 99.91 | 26.97 |
| 130 | HUN | 8 min         | 99.60 | 25.60 |
| 125 | HUN | 8 min         | 99.39 | 24.32 |
| 120 | HUN | 8 min         | 99.79 | 23.40 |
| 115 | HUN | 8 min         | 99.43 | 21.75 |
| 115 | HUN | 8 min         | 98.83 | 20.87 |
| 110 | HUN | 8 min         | 99.28 | 20.72 |
| 110 | HUN | 8 min         | 98.04 | 20.05 |
| 105 | HUN | group4 8 min  | 98.52 | 19.92 |
| 100 | HUN | 8 min         | 99.49 | 19.35 |
| 105 | HUN | 8 min         | 98.87 | 19.60 |
|  95 | HUN | 8 min         | 99.31 | 17.77 |
|  85 | HUN | 8 min         | 99.55 | 16.50 |
|  90 | HUN | 8 min         | 99.14 | 17.37 |
|  75 | HUN | 8 min         | 98.98 | 14.35 |
|  80 | HUN | 8 min         | 98.30 | 14.30 |
|  65 | HUN | 8 min         | 99.00 | 12.35 |
|  70 | HUN | 8 min         | 99.63 | 13.27 |
|  65 | HUN | 8 min         | 96.15 | 10.65 |
|  65 | HUN | 8 min         | 99.42 | 12.62 |
